字段名,含义,单位,作用,可确认数值,阶段
"基站 1~4 坐标","基站参考坐标","cm","多边测量几何输入","参考/固件默认：基站1 (80,-80,160)；基站2 (0,400,170)；基站3 (400,400,170)；基站4 (400,0,170)（非现场实测）",2
"anchor_id（基站编号）","基站编号","整数","基站与坐标对应；与每条 range 精确对应","1~4",1
"起飞时间","起飞时间",,"飞行数据",,1
"对地高度","对地高度",,"补齐平台 z（参考面/单位待确认）",,1
"水平速度","水平速度",,"飞行数据",,1
"垂直速度","垂直速度",,"飞行数据",,1
"主模式","主飞行模式",,"飞行状态",,1
"子模式","子飞行模式",,"飞行状态",,1
"uwb_distance data[0]","ROS 接收端当前时间","s","记录接收时刻（非飞控硬件时间戳）",,1
"uwb_distance data[index]","机间距离","m","机间距离；非四基站原始测距","本机对应项为 0",1
"uwb_distance 数组长度","机位数","个","由消息中目标系统编号映射","最多 6",1
"frame_sequence","帧序号","整数","判断丢帧/乱序/重复帧",,1
"sample_timestamp_ns","图像采样/曝光时刻","ns","VIO 同步与位姿配对（禁止用接收时间替代）",,1
"timestamp_clock","时间戳时钟来源","枚举（如 rpi_monotonic_raw）","说明时钟归属，用于对齐",,2
"image_width_px/image_height_px","图像宽/高","px","提供真实尺寸给算法",,1
"encoding/pixel_format","编码/像素格式","枚举（mono8/bgr8/yuyv/mjpeg/h264）","正确解码与延迟评估",,2
"exposure_start_timestamp_ns/曝光时长","曝光起始时刻/时长","ns","运动模糊与同步误差分析",,1
"gain","增益","数值","解释检测率/特征跟踪失败",,1
"exposure_us","曝光时间","us","解释运动模糊/曝光状态",,1
"camera_frame_id","相机坐标系名","字符串（如 camera_optical_frame）","建立相机坐标与 base_link→camera 外参",,2
"receive_timestamp_ns","地面端接收时刻","ns","测量传输延迟（不替代采样时间）",,1
"transport","传输方式","枚举（wifi_udp/wifi_tcp/file_copy）","记录链路",,2
"packet_loss_or_decode_error","丢包/解码错误","计数/状态","诊断",,1
"distortion_model","畸变模型","枚举（plumb_bob/rational_polynomial/equidistant）","图像矫正一致性",,2
"K[3x3]","相机内参矩阵","焦距 px/主点 px","视觉算法内参（不得用分辨率猜测）",,2
"D[]","畸变系数","无量纲","去畸变（鱼眼不可省略）",,2
"R","校正矩阵","无量纲","ROS CameraInfo 矫正矩阵",,2
"P","投影矩阵","无量纲","ROS CameraInfo 投影矩阵",,2
"imu_sample_timestamp_ns","IMU 采样时刻","ns","VIO 时间基准（相邻样本单调递增）",,1
"angular_velocity_x/y/z","角速度","rad/s","VINS/ORB-SLAM3 惯性输入",,1
"linear_acceleration_x/y/z","线加速度","m/s²","VINS/ORB-SLAM3 惯性输入",,1
"imu_frame_id","IMU 坐标系名与轴向","字符串","明确右手系及各轴物理方向",,2
"orientation/协方差","姿态/协方差",,"诊断（勿把飞控 EKF 姿态当原始 IMU）",,1
"position(x/y/z)","平台 UWB 位姿位置","内部 m","作为 map→base_link",,1
"range_m","单条 UWB 测距","m","无人机自身多边测量",,1
"tag ID","UWB 标签 ID","整数","距离/位姿归属",,1
"CN1/CN2/CN3/CN5","图传模块硬件接口",,"外置图传模块接口（仅外置版适用）","CN1 网络；CN2 串行；CN3 电源及配对按键；CN5 状态指示",2
"相机类型","相机形态",,"主链路相机形态","单目",2
"外置图传默认视频分辨率","外置图传模块默认输出分辨率","px","解码尺寸参考（可网页修改）","2880×1616",2
"外置图传视频协议","外置图传视频传输协议",,"取流","RTSP",2
"外置图传视频地址（示例）","RTSP 视频流地址",,"取流地址","rtsp://192.168.1.129:554/stream1（示例）",2
"外置图传网页管理地址（示例）","模块网页配置地址",,"配置","http://192.168.1.129（示例）",2
"树莓派串口设备/波特率","树莓派↔飞控 MAVLink 串口","baud","串口通信","/dev/ttyAMA0 或 /dev/ttyS0，460800",2
"外置图传串口波特率","图传模块串口透传","baud","串口透传（ROS1 fcu_core_v2）","115200",2
"fcu_core 默认连接","飞控默认连接方式",,"通信","TCP 192.168.4.1:333 / USB /dev/ttyACM0",2
"rpicam-vid 视频输出","树莓派采集推流",,"TCP 推流（监听）","tcp://0.0.0.0:<port>",2
"PC 取帧脚本缓冲尺寸","tcp_no_delay_recvstream_pc.py 帧缓冲","px","程序重塑尺寸（非传感器分辨率）","W_img=640, H_img=480",2
"PC 取帧脚本 TCP 地址（示例）","脚本示例传输地址",,"示例（非设备固定地址）","tcp://192.168.0.112:5005",2
"PC 取帧脚本依赖","Python 依赖版本",,"复现环境","numpy==1.24.0；opencv-contrib-python==4.6.0.66",2
"HEARTBEAT","飞控心跳/连接与模式状态",,"确认连接与飞控在线；fcu_core 与 serial_demo 均已解析","非 VINS 首要输入",1
"BATTERY_STATUS","电池电压/电流","电压/电流（MAVLink 定义）","电量监控；fcu_core 与 serial_demo 已解析","非 VINS 首要输入",1
"ATTITUDE_QUATERNION","飞控姿态四元数","无量纲（w,x,y,z）","飞控姿态四元数；fcu_core 已解析","公开发送代码未确认四元数输出",1
"SET_POSITION_TARGET_LOCAL_NED","本地 NED 位置目标","m / (m/s)","位置控制目标设定；fcu_core 已解析","非 VINS 首要输入",1
"AprilTag family","标签家族（如 tag36h11）",,"无标签/AprilTag 基线检测配置",,2
"AprilTag ID","目标标签编号","整数","目标标签身份",,2
"AprilTag 实际边长","标签物理边长","m","PnP/IPPE 尺度基准（不得用规格标称值代替）",,2
"tag → target_link 外参","标签参考点到 target_link 的平移/旋转","m / rad","把 PnP 输出映射到目标参考点",,2
"map → base_link","世界坐标系到机体的变换","m / rad","UWB 多边测量得到的无人机自身定位结果",,1
"base_link → camera_optical_frame","机体到相机光学系外参","m / rad","相对视觉位姿转世界坐标（现场测量/标定）",,2
"camera → target","相机到目标的变换","m / rad","单目视觉观测输出",,1
"UWB 标签 → base_link 外参","UWB 标签参考点相对 base_link 的平移/旋转","m / rad","统一 UWB 位置与机体/相机位置","未确认，必须现场测量/标定或向厂商索取",2
"camera → IMU 外参","相机—IMU 外参","m / rad","VINS / ORB-SLAM3 惯性模式所需","后续对照，非首版",2
"tag → IMU 外参","UWB 标签—IMU 外参","m / rad","UVINS 紧耦合所需","后续对照，非首版",2
"标定图像分辨率与裁切/缩放","标定所用真实分辨率及裁切/缩放记录","px","K 仅对同一分辨率/裁切模式有效",,2
"标定元数据","标定日期/工具/标定板尺寸/重投影误差/配置 SHA256",,"让内参可重现与可替换",,2
"快门类型","全局/滚动快门",,"解释快速运动模糊与同步误差",,2
"焦距/视场角","镜头焦距与视场角","mm / deg","选取标签尺寸与拍摄距离（不替代实际标定）",,2
"自动对焦状态","自动对焦是否锁定/镜头是否可拆",,"影响内参稳定性",,2
"相机型号/传感器","相机型号与传感器",,"选型与参数解释",,2
"相机物理接口","CSI/USB/其他",,"相机连接方式",,2
"相机实际输出分辨率","解码后真实分辨率","px","提供算法真实尺寸（区别于缓冲/标称值）",,1
"相机实际帧率","实测有效帧率","fps","丢帧统计与延迟评估（不以标称代替）",,1
"地面端接收方式","ffplay 播放/取流命令",,"地面端接收链路","ffplay tcp://<树莓派IP>:<port>（RTSP 走 rtsp://.../stream1）",2
"树莓派—地面网络要求","树莓派与地面电脑网络条件",,"视频/串口链路准入","同一路由器 Wi-Fi",2
"payload / 图像字节或外部引用+SHA256","图像数据或外部文件位置与校验值",,"数据可回放（大文件不入 Git，仅登记外部位置与 SHA256）",,1
"IMU 频率/抖动/丢样率","IMU 实测频率、P95/最大间隔、丢样率","Hz / ns","VIO 连续输入要求（实测统计）",,1
"IMU 时间基准与精度","时钟来源（飞控 tick / RPi monotonic / UTC）与精度",,"判断可否与相机时钟配对",,2
"IMU 噪声参数","噪声密度/随机游走/量程/滤波",,"VINS/ORB-SLAM3 配置参数（未知不得假装为真实值）",,2
"UWB 定位数据更新率","位置/姿态实际输出频率","Hz","抓包统计（不以网页标称值代替）",,1
"UWB 质量/协方差","定位质量/协方差来源",,"异常值剔除与结果解释；无则记录原始值并标注限制",,1
"基站布局版本","四基站坐标布局版本",,"多边测量几何可追溯",,2
"原始距离质量标志","NLOS/LOS、通道/PRF 等可得配置",,"UWB 解算的噪声/异常处理",,1
"range 有效状态","单条测距有效状态",,"距离有效性判断",,1
"目标真值坐标","目标 ground truth 坐标及测量方法","m","比较定位精度（无真值不得宣称厘米级）",,1
