method,target_id,frame,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,error_xy_m,visible
baseline,J01-NW-HIGH,15,0.0788,0.9669787234042552,0.22,-0.06620758411041741,0.867209151554273,0.17601467812846897,1
baseline,J01-NW-HIGH,16,0.0788,0.9669787234042552,0.22,-0.020685363905012574,0.7700847761414031,0.22060046260164445,1
baseline,J01-NW-HIGH,17,0.0788,0.9669787234042552,0.22,-0.10632327378410358,0.8073737218204871,0.24442664140207548,1
baseline,J01-NW-HIGH,18,0.0788,0.9669787234042552,0.22,-0.02435310648599045,0.8196820930524404,0.17982452750030856,1
baseline,J01-NW-HIGH,19,0.0788,0.9669787234042552,0.22,-0.0240549919771764,0.8592706694962573,0.14893009854046696,0
baseline,J01-NW-HIGH,20,0.0788,0.9669787234042552,0.22,0.015711295121568943,0.8538073718625373,0.1295682811995932,1
baseline,J01-NW-HIGH,21,0.0788,0.9669787234042552,0.22,0.023623856883929963,0.8347088129314705,0.14331690753586443,0
baseline,J01-NW-HIGH,22,0.0788,0.9669787234042552,0.22,-0.06396886359836908,0.809289833874577,0.21271749879657942,1
baseline,J01-NW-HIGH,23,0.0788,0.9669787234042552,0.22,-0.04258923911866719,0.801065856692529,0.20557827393553035,1
baseline,J01-NW-HIGH,24,0.0788,0.9669787234042552,0.22,-0.12021334735287825,0.8781687038446523,0.21793010805938315,1
baseline,J01-NW-HIGH,25,0.0788,0.9669787234042552,0.22,-0.06936032561470117,0.7868289382760775,0.2332497098990326,1
baseline,J01-NW-HIGH,26,0.0788,0.9669787234042552,0.22,-0.0419094289324475,0.8755485629645456,0.15142734386902723,1
baseline,J01-NW-HIGH,27,0.0788,0.9669787234042552,0.22,0.008663235292234311,0.8651762123946517,0.12362409559439827,1
baseline,J01-NW-HIGH,28,0.0788,0.9669787234042552,0.22,-0.02496674328539599,0.8323049350274215,0.1700134297278466,1
baseline,J01-NW-HIGH,29,0.0788,0.9669787234042552,0.22,-0.07165622415636283,0.8989011892187888,0.16514123061235508,1
baseline,J01-NW-HIGH,30,0.0788,0.9669787234042552,0.22,-0.0795688693407107,0.8741102281057327,0.18358991310871844,0
baseline,J01-NW-HIGH,31,0.0788,0.9669787234042552,0.22,0.10605539860935859,0.7917806698927227,0.17730542774428773,1
baseline,J01-NW-HIGH,32,0.0788,0.9669787234042552,0.22,-0.0463275371371826,0.8874116631450453,0.14828289728862784,1
baseline,J01-NW-HIGH,33,0.0788,0.9669787234042552,0.22,-0.08522413852033733,0.7667437503160961,0.2588396462386599,1
baseline,J01-NW-HIGH,34,0.0788,0.9669787234042552,0.22,-0.02576153843685665,0.8564597923493577,0.15214318729998869,1
baseline,J01-NW-HIGH,35,0.0788,0.9669787234042552,0.22,0.02437485505992977,0.8274611802699338,0.14975727442760464,1
baseline,J01-NW-HIGH,36,0.0788,0.9669787234042552,0.22,-0.007943831200568973,0.8952952348392467,0.11253006169109882,1
baseline,J01-NW-HIGH,37,0.0788,0.9669787234042552,0.22,-0.019835813662081776,0.8447578114489213,0.1570572349685757,1
baseline,J01-NW-HIGH,38,0.0788,0.9669787234042552,0.22,-0.05888923793132157,0.7478173726968338,0.25882431084813,0
baseline,J01-NW-HIGH,39,0.0788,0.9669787234042552,0.22,-0.01210044212978293,0.8487165256938921,0.14916044310297225,0
baseline,J01-NW-HIGH,40,0.0788,0.9669787234042552,0.22,-0.05393530664488154,0.8374135559332052,0.18548798950851764,0
baseline,J01-NW-HIGH,41,0.0788,0.9669787234042552,0.22,-0.060728137958100684,0.786267396088199,0.228308311505266,0
baseline,J01-NW-HIGH,42,0.0788,0.9669787234042552,0.22,-0.018094987543794006,0.7823846604112517,0.20847927163959717,1
baseline,J01-NW-HIGH,43,0.0788,0.9669787234042552,0.22,0.01455004709715585,0.8401089036390836,0.14221113745155406,1
baseline,J01-NW-HIGH,44,0.0788,0.9669787234042552,0.22,0.07483914532997997,0.881210217780319,0.08585991455085534,1
baseline,J01-NW-HIGH,45,0.0788,0.9669787234042552,0.22,0.049527898330856315,0.805332122935265,0.16427562016108785,1
baseline,J01-NW-HIGH,46,0.0788,0.9669787234042552,0.22,-0.07407013965572817,0.8152531376047307,0.21538322354484968,0
baseline,J01-NW-HIGH,47,0.0788,0.9669787234042552,0.22,-0.08978487900590748,0.828984995489458,0.21786034603217613,1
baseline,J01-NW-HIGH,48,0.0788,0.9669787234042552,0.22,-0.03310213956026581,0.8817404242984408,0.14066860514207669,1
baseline,J01-NW-HIGH,49,0.0788,0.9669787234042552,0.22,-0.03303240799686884,0.8602316033110536,0.15460088979876707,1
baseline,J01-NW-HIGH,50,0.0788,0.9669787234042552,0.22,-0.02561139706551721,0.8364542724213034,0.16714775541889296,1
baseline,J01-NW-HIGH,51,0.0788,0.9669787234042552,0.22,-0.00869984037837308,0.7849707062383267,0.20194836067399433,1
baseline,J01-NW-HIGH,52,0.0788,0.9669787234042552,0.22,0.018645095139847336,0.8132327565572443,0.1650952297931597,1
baseline,J01-NW-HIGH,53,0.0788,0.9669787234042552,0.22,-0.05362739968930015,0.8657902342173076,0.1666617128569326,1
baseline,J01-NW-HIGH,54,0.0788,0.9669787234042552,0.22,-0.034186410079974625,0.7508502538881263,0.24387997908427095,0
baseline,J01-NW-HIGH,55,0.0788,0.9669787234042552,0.22,-0.11769110612151631,0.8772707725451214,0.21600062785140636,1
baseline,J01-NW-HIGH,56,0.0788,0.9669787234042552,0.22,-0.05217909097459246,0.7591416449728912,0.245665979418021,1
baseline,J01-NW-HIGH,57,0.0788,0.9669787234042552,0.22,-0.063380586374637,0.8827535914928308,0.1652549302965949,1
baseline,J01-NW-HIGH,58,0.0788,0.9669787234042552,0.22,-0.029585837766050053,0.8365021585740665,0.16962200269462374,1
baseline,J01-NW-HIGH,59,0.0788,0.9669787234042552,0.22,-0.02056957120281225,0.7493219103599268,0.2392672145231028,1
baseline,J01-NW-HIGH,60,0.0788,0.9669787234042552,0.22,-0.05608544419307905,0.7680400471417175,0.24035532024121084,0
baseline,J01-NE-HIGH,1,0.9062,0.9669787234042552,0.22,0.808454238064214,0.894435966780088,0.12172380833280112,1
baseline,J01-NE-HIGH,2,0.9062,0.9669787234042552,0.22,0.7343658434767298,0.8596097005253951,0.20262054294178783,1
baseline,J01-NE-HIGH,3,0.9062,0.9669787234042552,0.22,0.7265646564273007,0.7351456426339258,0.2932838795432572,1
baseline,J01-NE-HIGH,4,0.9062,0.9669787234042552,0.22,0.8048676451877844,0.9027042712012404,0.11999771388566692,0
baseline,J01-NE-HIGH,5,0.9062,0.9669787234042552,0.22,0.7874233939943768,0.8035181205011357,0.20205754337729231,1
baseline,J01-NE-HIGH,6,0.9062,0.9669787234042552,0.22,0.7688852289019682,0.8885850293932664,0.15811678475858723,1
baseline,J01-NE-HIGH,7,0.9062,0.9669787234042552,0.22,0.785827776113886,0.8117365261697831,0.19644238871861514,1
baseline,J01-NE-HIGH,8,0.9062,0.9669787234042552,0.22,0.7982682454416858,0.8105912796053146,0.19001656827761876,1
baseline,J01-NE-HIGH,9,0.9062,0.9669787234042552,0.22,0.7823670647913182,0.8026670269612254,0.20574967662279314,1
baseline,J01-NE-HIGH,10,0.9062,0.9669787234042552,0.22,0.7305806747828805,0.859001173383991,0.20615843106236295,1
baseline,J01-NE-HIGH,11,0.9062,0.9669787234042552,0.22,0.8257474007736879,0.86318564692691,0.13132259305580898,1
baseline,J01-NE-HIGH,12,0.9062,0.9669787234042552,0.22,0.8052289733671872,0.8401427794714597,0.16211879870208584,1
baseline,J01-NE-HIGH,13,0.9062,0.9669787234042552,0.22,0.7991436786079651,0.8743832001785631,0.14154499945753773,1
baseline,J01-NE-HIGH,14,0.9062,0.9669787234042552,0.22,0.7233298008970861,0.8343394220261293,0.22590859653854847,1
baseline,J01-NE-HIGH,15,0.9062,0.9669787234042552,0.22,0.7983710806121832,0.8133573569439979,0.18768750648208035,0
baseline,J01-NE-HIGH,16,0.9062,0.9669787234042552,0.22,0.8306735596546253,0.8671937985548095,0.12514501355808375,1
baseline,J01-NE-HIGH,17,0.9062,0.9669787234042552,0.22,0.8445146425900639,0.8362699576995264,0.14453326520509124,1
baseline,J01-NE-HIGH,18,0.9062,0.9669787234042552,0.22,0.8261519347431153,0.7886843810447052,0.19543941585257282,1
baseline,J01-NE-HIGH,19,0.9062,0.9669787234042552,0.22,0.8064893316579428,0.8164586232700178,0.18055059658068306,1
baseline,J01-NE-HIGH,20,0.9062,0.9669787234042552,0.22,0.7965881021170641,0.8641168096128318,0.1503174689327005,0
baseline,J01-NE-HIGH,21,0.9062,0.9669787234042552,0.22,0.866804156864281,0.8880551697424207,0.08820974877521554,1
baseline,J01-NE-HIGH,22,0.9062,0.9669787234042552,0.22,0.7486480584278901,0.8374940283057356,0.20393356898239712,1
baseline,J01-NE-HIGH,23,0.9062,0.9669787234042552,0.22,0.784296149497498,0.7903431571658341,0.21461750168079016,1
baseline,J01-NE-HIGH,24,0.9062,0.9669787234042552,0.22,0.84398316901236,0.8174486949025936,0.16195728906675447,0
baseline,J01-NE-HIGH,25,0.9062,0.9669787234042552,0.22,0.7227340752570905,0.8489139901155127,0.21817201192708657,1
baseline,J01-NE-HIGH,26,0.9062,0.9669787234042552,0.22,0.7665502176301011,0.8229227349614974,0.20063446743314095,1
baseline,J01-NE-HIGH,27,0.9062,0.9669787234042552,0.22,0.7236060126589133,0.8084025861828936,0.24184076477956526,1
baseline,J01-NE-HIGH,28,0.9062,0.9669787234042552,0.22,0.7605547271189761,0.8432841360148209,0.1910834803483292,1
baseline,J01-NE-HIGH,29,0.9062,0.9669787234042552,0.22,0.7960161215191182,0.7419900928842793,0.25052020066322783,1
baseline,J01-NE-HIGH,30,0.9062,0.9669787234042552,0.22,0.8177835512451344,0.9150234813657165,0.10255152649134441,1
baseline,J01-NE-HIGH,31,0.9062,0.9669787234042552,0.22,0.7932452994180407,0.910940830295652,0.12609127585844834,1
baseline,J01-NE-HIGH,32,0.9062,0.9669787234042552,0.22,0.787504910710892,0.8458818646533826,0.16956701749066094,1
baseline,J01-NE-HIGH,33,0.9062,0.9669787234042552,0.22,0.7691119953204979,0.7800475916301615,0.23181106326780604,1
baseline,J01-NE-HIGH,34,0.9062,0.9669787234042552,0.22,0.8720407846684644,0.9181523898797709,0.059589116770685555,1
baseline,J01-NE-HIGH,35,0.9062,0.9669787234042552,0.22,0.8456132040047142,0.8196096235604184,0.1593374138040313,1
baseline,J01-NE-HIGH,36,0.9062,0.9669787234042552,0.22,0.7821742197853071,0.7642103805727612,0.23769180678452836,1
baseline,J01-NE-HIGH,37,0.9062,0.9669787234042552,0.22,0.8261366764514293,0.8095080854119538,0.17665542054334343,1
baseline,J01-NE-HIGH,38,0.9062,0.9669787234042552,0.22,0.7462984206778496,0.8554305459602395,0.19496540965207027,0
baseline,J01-NE-HIGH,39,0.9062,0.9669787234042552,0.22,0.8103028285984523,0.8090396976003039,0.1847728425789867,1
baseline,J01-NE-HIGH,40,0.9062,0.9669787234042552,0.22,0.8307369983519093,0.8515173871532834,0.1379347120437771,1
baseline,J01-NE-HIGH,41,0.9062,0.9669787234042552,0.22,0.752803556260951,0.7955040879319797,0.2300739436836275,1
baseline,J01-NE-HIGH,42,0.9062,0.9669787234042552,0.22,0.7794595875187922,0.8183758778174145,0.19530985093541264,1
baseline,J01-NE-HIGH,43,0.9062,0.9669787234042552,0.22,0.8036104524322852,0.803589866658155,0.192926239218376,1
baseline,J01-NE-HIGH,44,0.9062,0.9669787234042552,0.22,0.7492738181725855,0.9069063195505179,0.16803130734389127,0
baseline,J01-NE-HIGH,45,0.9062,0.9669787234042552,0.22,0.7080901046379622,0.82643188498387,0.2429011001010976,1
baseline,J01-NE-HIGH,46,0.9062,0.9669787234042552,0.22,0.8012307039320039,0.845239815745645,0.16074487473920354,1
baseline,J01-NE-HIGH,47,0.9062,0.9669787234042552,0.22,0.8219452245840901,0.7481690924787416,0.234470726885351,0
baseline,J01-NE-HIGH,48,0.9062,0.9669787234042552,0.22,0.7725980026073718,0.9015794168812601,0.148750001683995,1
baseline,J01-NE-HIGH,49,0.9062,0.9669787234042552,0.22,0.8386260104735861,0.8468761155373377,0.1378074035636346,1
baseline,J01-NE-HIGH,50,0.9062,0.9669787234042552,0.22,0.679128918418775,0.8673575492435222,0.24796301020843906,1
baseline,J01-NE-HIGH,51,0.9062,0.9669787234042552,0.22,0.825351297525006,0.7887802231333468,0.1956814201468576,1
baseline,J01-NE-HIGH,52,0.9062,0.9669787234042552,0.22,0.8042421459787503,0.8301292874809808,0.1706551262316396,1
baseline,J01-NE-HIGH,53,0.9062,0.9669787234042552,0.22,0.7629453468032013,0.8343797872025046,0.19520341581122755,1
baseline,J01-NE-HIGH,54,0.9062,0.9669787234042552,0.22,0.7769973520866055,0.8266671042167122,0.19073718753002172,1
baseline,J01-NE-HIGH,55,0.9062,0.9669787234042552,0.22,0.7929834701211382,0.7879904984016213,0.21178944101962377,1
baseline,J01-NE-HIGH,56,0.9062,0.9669787234042552,0.22,0.8065121136455036,0.8237389460240165,0.1745144936954158,1
baseline,J01-NE-HIGH,57,0.9062,0.9669787234042552,0.22,0.8384246879075402,0.8602501163672813,0.12642977690909332,1
baseline,J01-NE-HIGH,58,0.9062,0.9669787234042552,0.22,0.7258642738445226,0.8883748362845622,0.19672199978230392,1
baseline,J01-NE-HIGH,59,0.9062,0.9669787234042552,0.22,0.7316545022208768,0.8162183922314368,0.23063999707401095,1
baseline,J01-NE-HIGH,60,0.9062,0.9669787234042552,0.22,0.7626917395210016,0.8559513542907946,0.18144337275845784,0
baseline,J01-SE-HIGH,1,0.9062,0.08408510638297871,0.22,0.7728981746023125,-0.07632459449193614,0.20856809149324648,1
baseline,J01-SE-HIGH,2,0.9062,0.08408510638297871,0.22,0.8334279118078352,-0.09327827272131356,0.19171214115736418,1
baseline,J01-SE-HIGH,3,0.9062,0.08408510638297871,0.22,0.8019894170187035,0.008748396268083998,0.12859030094154597,1
baseline,J01-SE-HIGH,4,0.9062,0.08408510638297871,0.22,0.8031373562086958,-0.011875482090458314,0.1408202509776971,1
baseline,J01-SE-HIGH,5,0.9062,0.08408510638297871,0.22,0.8486233437225699,-0.0713657362836063,0.16577103436318633,1
baseline,J01-SE-HIGH,6,0.9062,0.08408510638297871,0.22,0.8543079253791545,-0.06554485632097598,0.15837270328955766,1
baseline,J01-SE-HIGH,7,0.9062,0.08408510638297871,0.22,0.7986454433207499,-0.04463000721221708,0.16773658852586149,1
baseline,J01-SE-HIGH,8,0.9062,0.08408510638297871,0.22,0.8135872229348604,-0.03742658483300504,0.15278160091413437,1
baseline,J01-SE-HIGH,9,0.9062,0.08408510638297871,0.22,0.7857432381807096,-0.026158227209930156,0.16328938749859603,1
baseline,J01-SE-HIGH,10,0.9062,0.08408510638297871,0.22,0.781297347426875,-0.04260397423277099,0.1779067052335766,1
baseline,J01-SE-HIGH,11,0.9062,0.08408510638297871,0.22,0.7959229506958221,-0.0907681111894661,0.20672366893675434,1
baseline,J01-SE-HIGH,12,0.9062,0.08408510638297871,0.22,0.8138541727767684,-0.0660845751633488,0.17629147756278055,1
baseline,J01-SE-HIGH,13,0.9062,0.08408510638297871,0.22,0.8629828688470843,0.07440950087430673,0.04428699320396182,1
baseline,J01-SE-HIGH,14,0.9062,0.08408510638297871,0.22,0.7949630723825688,-0.06825256815059436,0.18862773165169128,1
baseline,J01-SE-HIGH,15,0.9062,0.08408510638297871,0.22,0.712269764672983,-0.12373250280968477,0.28424829790967404,1
baseline,J01-SE-HIGH,16,0.9062,0.08408510638297871,0.22,0.7293825779162787,-0.11258597669501094,0.2644691204496328,1
baseline,J01-SE-HIGH,17,0.9062,0.08408510638297871,0.22,0.7359746551591381,-0.03633828036066743,0.20851489179672547,1
baseline,J01-SE-HIGH,18,0.9062,0.08408510638297871,0.22,0.839600079567557,-0.010723493622078098,0.11586293642285525,1
baseline,J01-SE-HIGH,19,0.9062,0.08408510638297871,0.22,0.7756162325005368,-0.12328065988955275,0.24505648605198763,1
baseline,J01-SE-HIGH,20,0.9062,0.08408510638297871,0.22,0.7655533566964097,-0.07906336835185551,0.2154040461107224,1
baseline,J01-SE-HIGH,21,0.9062,0.08408510638297871,0.22,0.8353499292539502,-0.05639391138313485,0.15733431589215463,1
baseline,J01-SE-HIGH,22,0.9062,0.08408510638297871,0.22,0.7757688258912941,-0.10593497712058442,0.23047759829119327,1
baseline,J01-SE-HIGH,23,0.9062,0.08408510638297871,0.22,0.8262968572729104,0.005613288711913321,0.11199258183588139,1
baseline,J01-SE-HIGH,24,0.9062,0.08408510638297871,0.22,0.8389056573265617,-0.10411207126827346,0.19986672117125226,1
baseline,J01-SE-HIGH,25,0.9062,0.08408510638297871,0.22,0.7468939108365213,-0.014492281345150113,0.18733908138950628,1
baseline,J01-SE-HIGH,26,0.9062,0.08408510638297871,0.22,0.8228754282730166,-0.030469890430342945,0.1416539146948835,1
baseline,J01-SE-HIGH,27,0.9062,0.08408510638297871,0.22,0.8005889375570026,-0.03207305327988516,0.1569917659197516,1
baseline,J01-SE-HIGH,28,0.9062,0.08408510638297871,0.22,0.8296047760632264,-0.04441974316385503,0.14960055042338208,1
baseline,J01-SE-HIGH,29,0.9062,0.08408510638297871,0.22,0.7669859400467754,0.01707088107878732,0.15450391866156965,1
baseline,J01-SE-HIGH,30,0.9062,0.08408510638297871,0.22,0.7464498516337695,-0.06222193116277289,0.21662377325318338,1
baseline,J01-SE-HIGH,31,0.9062,0.08408510638297871,0.22,0.8400939099947936,-0.07157081352356981,0.16911173979866181,1
baseline,J01-SE-HIGH,32,0.9062,0.08408510638297871,0.22,0.8400802058079209,-0.10088709032612629,0.19643457114111745,1
baseline,J01-SE-HIGH,33,0.9062,0.08408510638297871,0.22,0.7794097609627753,0.004527682846637994,0.14968349392921482,1
baseline,J01-SE-HIGH,34,0.9062,0.08408510638297871,0.22,0.7894039305617947,-0.045598949935633126,0.17452586140587578,1
baseline,J01-SE-HIGH,35,0.9062,0.08408510638297871,0.22,0.8145941547298912,-0.05161711168496703,0.16372758740118118,1
baseline,J01-SE-HIGH,36,0.9062,0.08408510638297871,0.22,0.7925344206807232,-0.06596155978246589,0.18823885345313593,1
baseline,J01-SE-HIGH,37,0.9062,0.08408510638297871,0.22,0.7545937870232751,-0.07585852887474202,0.22037788063369448,1
baseline,J01-SE-HIGH,38,0.9062,0.08408510638297871,0.22,0.8193012529349541,-0.10553773250349996,0.20858622502179347,1
baseline,J01-SE-HIGH,39,0.9062,0.08408510638297871,0.22,0.7553667934187002,-0.022581267018472607,0.18473865708674758,1
baseline,J01-SE-HIGH,40,0.9062,0.08408510638297871,0.22,0.8202060359935582,-0.06728937452636537,0.1740953627070939,1
baseline,J01-SE-HIGH,41,0.9062,0.08408510638297871,0.22,0.755194088804861,-0.057798073479419614,0.20720430001266832,1
baseline,J01-SE-HIGH,42,0.9062,0.08408510638297871,0.22,0.7227012163823588,-0.003452435638329504,0.20330918536132644,1
baseline,J01-SE-HIGH,43,0.9062,0.08408510638297871,0.22,0.7913859205846374,-0.07838055629438126,0.19894060515940656,1
baseline,J01-SE-HIGH,44,0.9062,0.08408510638297871,0.22,0.7215334274590515,-0.03229314429064285,0.21827881308975844,1
baseline,J01-SE-HIGH,45,0.9062,0.08408510638297871,0.22,0.8511470792974396,-0.039805352012093544,0.13557164068942862,1
baseline,J01-SE-HIGH,46,0.9062,0.08408510638297871,0.22,0.8060990566043814,-0.03438792830497167,0.1551001573721482,0
baseline,J01-SE-HIGH,47,0.9062,0.08408510638297871,0.22,0.8086398920678162,-0.09598894489469534,0.20480390280288543,0
baseline,J01-SE-HIGH,48,0.9062,0.08408510638297871,0.22,0.7718717628858119,-0.1260215216901194,0.24937696454655292,1
baseline,J01-SE-HIGH,49,0.9062,0.08408510638297871,0.22,0.6869777282202255,-0.051971836230948275,0.25801142625421597,1
baseline,J01-SE-HIGH,50,0.9062,0.08408510638297871,0.22,0.7935614534218948,-0.023663349044860997,0.15587550103307812,1
baseline,J01-SE-HIGH,51,0.9062,0.08408510638297871,0.22,0.697189364509995,-0.11068642548696644,0.2856945840839493,1
baseline,J01-SE-HIGH,52,0.9062,0.08408510638297871,0.22,0.8193237664238074,-0.08411128509857625,0.18930796620269752,0
baseline,J01-SE-HIGH,53,0.9062,0.08408510638297871,0.22,0.8346730694975643,-0.07784580227669598,0.17702463378425098,0
baseline,J01-SE-HIGH,54,0.9062,0.08408510638297871,0.22,0.8369218195491588,-0.056501497325984466,0.15672925517911573,1
baseline,J01-SE-HIGH,55,0.9062,0.08408510638297871,0.22,0.8248266726015194,-0.09475408525598056,0.19648174184380776,1
baseline,J01-SE-HIGH,56,0.9062,0.08408510638297871,0.22,0.7612074415913427,-0.04905168939024059,0.1968457476874921,0
baseline,J01-SE-HIGH,57,0.9062,0.08408510638297871,0.22,0.7793328765948282,-0.07964392551212887,0.2071290971505748,1
baseline,J01-SE-HIGH,58,0.9062,0.08408510638297871,0.22,0.798744567545469,-0.12370873506528136,0.23393364552328708,1
baseline,J01-SE-HIGH,59,0.9062,0.08408510638297871,0.22,0.7896905309882761,-0.03166965649723313,0.1642364804142122,0
baseline,J01-SE-HIGH,60,0.9062,0.08408510638297871,0.22,0.8302093504112394,-0.04601080706103679,0.15066361710696635,1
baseline,J01-SW-HIGH,1,0.0788,0.08408510638297871,0.22,-0.014438012077902535,-0.058666009308027546,0.1705028091477268,1
baseline,J01-SW-HIGH,2,0.0788,0.08408510638297871,0.22,-0.041852333896487987,-0.0652132820044566,0.19195570960446867,1
baseline,J01-SW-HIGH,3,0.0788,0.08408510638297871,0.22,-0.07904818750525351,-0.014035629146097475,0.18585943354982168,0
baseline,J01-SW-HIGH,4,0.0788,0.08408510638297871,0.22,0.0284799055816648,0.0228768469064769,0.07923738341473009,1
baseline,J01-SW-HIGH,5,0.0788,0.08408510638297871,0.22,-0.007542435951988932,-0.05639265194772461,0.16489092404296482,1
baseline,J01-SW-HIGH,6,0.0788,0.08408510638297871,0.22,0.008584182782206705,-0.009855893794147502,0.11728244754370273,1
baseline,J01-SW-HIGH,7,0.0788,0.08408510638297871,0.22,-0.03759868581375678,-0.046877943734801406,0.17521408206911296,1
baseline,J01-SW-HIGH,8,0.0788,0.08408510638297871,0.22,0.013614990386209315,0.002978461313551277,0.10405466521385795,1
baseline,J01-SW-HIGH,9,0.0788,0.08408510638297871,0.22,-0.0005952779268797448,-0.04142176537266305,0.14851122858212973,1
baseline,J01-SW-HIGH,10,0.0788,0.08408510638297871,0.22,-0.08774355091384642,-0.07172451230713299,0.22806444621499197,1
baseline,J01-SW-HIGH,11,0.0788,0.08408510638297871,0.22,-0.02308908029868525,-0.02942174012104997,0.15252930501186013,0
baseline,J01-SW-HIGH,12,0.0788,0.08408510638297871,0.22,-0.11318276626144205,-0.04907365119801951,0.23364211363089177,0
baseline,J01-SW-HIGH,13,0.0788,0.08408510638297871,0.22,-0.03252441958960869,-0.06947348939613308,0.1896664670800189,1
baseline,J01-SW-HIGH,14,0.0788,0.08408510638297871,0.22,-0.034688009132497206,-0.09002684695664162,0.20783286677663831,1
baseline,J01-SW-HIGH,15,0.0788,0.08408510638297871,0.22,-0.056896707981933435,-0.002015847914431504,0.160707718819162,1
baseline,J01-SW-HIGH,16,0.0788,0.08408510638297871,0.22,-0.06675498745819583,-0.02848430529072938,0.1840057793073911,1
baseline,J01-SW-HIGH,17,0.0788,0.08408510638297871,0.22,0.02716252671714546,-0.04235945868129686,0.13658205109505178,0
baseline,J01-SW-HIGH,18,0.0788,0.08408510638297871,0.22,-0.04030648558447653,-0.024362050856476962,0.1610811622183188,1
baseline,J01-SW-HIGH,19,0.0788,0.08408510638297871,0.22,0.011688586237196465,-0.023121971388744823,0.1264804308246718,1
baseline,J01-SW-HIGH,20,0.0788,0.08408510638297871,0.22,-0.1405469278136499,-0.07174540942976512,0.2690654648960961,1
baseline,J01-SW-HIGH,21,0.0788,0.08408510638297871,0.22,-0.008970064851648998,-0.08610020111547625,0.19148530798055066,1
baseline,J01-SW-HIGH,22,0.0788,0.08408510638297871,0.22,-0.08529072747514313,-0.02392718240051082,0.19644953899556403,1
baseline,J01-SW-HIGH,23,0.0788,0.08408510638297871,0.22,-0.07474161112122246,-0.07846275473100284,0.22359971712511387,1
baseline,J01-SW-HIGH,24,0.0788,0.08408510638297871,0.22,-0.04677089838957997,-0.030420413473012792,0.16993988525315967,0
baseline,J01-SW-HIGH,25,0.0788,0.08408510638297871,0.22,-0.03406862717540604,-0.09329096412971236,0.21024175938900425,1
baseline,J01-SW-HIGH,26,0.0788,0.08408510638297871,0.22,-0.06248712851709036,-0.08176671191548103,0.21787353744204485,1
baseline,J01-SW-HIGH,27,0.0788,0.08408510638297871,0.22,0.05704115849467582,0.026758594872484498,0.06131701318244916,1
baseline,J01-SW-HIGH,28,0.0788,0.08408510638297871,0.22,0.004751147002881435,-0.14463050124647409,0.2404039554655844,1
baseline,J01-SW-HIGH,29,0.0788,0.08408510638297871,0.22,-0.016830889871450885,-0.022814301422174242,0.14343204135303228,1
baseline,J01-SW-HIGH,30,0.0788,0.08408510638297871,0.22,-0.04540885928038188,-0.057803600787679835,0.18857424518288438,1
baseline,J01-SW-HIGH,31,0.0788,0.08408510638297871,0.22,-0.026133420077540485,-0.02042250267187246,0.14809747803231216,1
baseline,J01-SW-HIGH,32,0.0788,0.08408510638297871,0.22,-0.037328682663103185,-0.006546067947937148,0.14730879368750727,1
baseline,J01-SW-HIGH,33,0.0788,0.08408510638297871,0.22,0.0505012297601677,-0.02049535562219164,0.10834155910961267,1
baseline,J01-SW-HIGH,34,0.0788,0.08408510638297871,0.22,-0.05928932796198609,-0.055322484714117014,0.19622216733205247,1
baseline,J01-SW-HIGH,35,0.0788,0.08408510638297871,0.22,-0.026161995540512305,-0.08442680405763629,0.19852779268453163,1
